2026-02-04 05:03:20.434 [info] Extension host with pid 5812 started
2026-02-04 05:03:20.476 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-02-04 05:03:20.504 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-02-04 05:03:20.553 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2026-02-04 05:03:20.560 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-02-04 05:03:20.622 [info] Eager extensions activated
2026-02-04 05:03:20.623 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-02-04 05:03:20.626 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-02-04 06:52:16.467 [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:css'
2026-02-04 06:54:51.665 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2026-02-04 06:54:51.677 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2026-02-04 06:54:51.693 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2026-02-04 06:54:51.743 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onLanguage:json'
